length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,30,39,1,2,9,1,1,91,10,1,51,10
6905,37,4,71,41,,,,,,,,,,,,
7044,37,7,21,41,,,,,,,,,,,,
7109,32,7,81,11,,,,,,,,,,,,
7202,35,3,41,31,,,,,,,,,,,,
7205,31,8,61,11,,,,,,,,,,,,
7246,36,9,61,31,,,,,,,,,,,,
7291,30,2,11,1,,,,,,,,,,,,
7332,30,8,91,21,,,,,,,,,,,,
7342,36,2,61,51,,,,,,,,,,,,
7438,37,3,21,11,,,,,,,,,,,,
7470,32,6,31,41,,,,,,,,,,,,
7496,36,3,51,41,,,,,,,,,,,,
7506,36,5,41,1,,,,,,,,,,,,
7545,33,2,91,51,,,,,,,,,,,,
7564,36,5,81,41,,,,,,,,,,,,
7570,38,2,71,11,,,,,,,,,,,,
7572,37,5,91,41,,,,,,,,,,,,
7581,35,3,41,51,,,,,,,,,,,,
7586,33,2,11,11,,,,,,,,,,,,
7594,38,2,71,31,,,,,,,,,,,,
7596,34,3,71,41,,,,,,,,,,,,
7601,31,6,1,51,,,,,,,,,,,,
7612,38,2,41,41,,,,,,,,,,,,
7623,37,4,61,41,,,,,,,,,,,,
7625,32,2,21,21,,,,,,,,,,,,
7632,32,3,91,41,,,,,,,,,,,,
7635,31,5,71,11,,,,,,,,,,,,
7636,32,5,31,31,,,,,,,,,,,,
7639,37,4,11,41,,,,,,,,,,,,
7640,31,7,81,21,,,,,,,,,,,,
7641,32,5,21,21,,,,,,,,,,,,
7653,30,5,71,51,,,,,,,,,,,,
7656,37,4,91,1,,,,,,,,,,,,
7674,31,8,1,21,,,,,,,,,,,,
7679,32,6,51,51,,,,,,,,,,,,
7679,33,4,51,11,,,,,,,,,,,,
7689,30,9,71,41,,,,,,,,,,,,
7701,31,5,41,21,,,,,,,,,,,,
7709,34,7,81,11,,,,,,,,,,,,
7709,37,5,51,21,,,,,,,,,,,,
7715,36,5,21,1,,,,,,,,,,,,
7723,32,9,81,21,,,,,,,,,,,,
7737,36,4,81,1,,,,,,,,,,,,
7741,33,3,91,41,,,,,,,,,,,,
7742,32,2,41,21,,,,,,,,,,,,
7747,32,5,1,21,,,,,,,,,,,,
7749,37,3,91,31,,,,,,,,,,,,
7750,36,5,41,41,,,,,,,,,,,,
7755,36,2,21,31,,,,,,,,,,,,
7760,34,3,41,41,,,,,,,,,,,,
7762,35,4,11,11,,,,,,,,,,,,
7768,30,6,11,41,,,,,,,,,,,,
7770,36,7,11,1,,,,,,,,,,,,
7775,30,7,81,1,,,,,,,,,,,,
7782,37,8,31,11,,,,,,,,,,,,
7784,34,4,91,11,,,,,,,,,,,,
7784,36,2,21,21,,,,,,,,,,,,
7803,30,6,61,41,,,,,,,,,,,,
7826,36,5,51,31,,,,,,,,,,,,
7828,34,2,1,21,,,,,,,,,,,,
