length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,2,9,1,2,9,1,1,91,10,1,51,10
7230,4,4,91,1,,,,,,,,,,,,
7274,3,4,11,51,,,,,,,,,,,,
7282,9,4,51,1,,,,,,,,,,,,
7289,9,2,61,1,,,,,,,,,,,,
7321,6,5,91,41,,,,,,,,,,,,
7408,7,6,81,11,,,,,,,,,,,,
7415,6,4,21,51,,,,,,,,,,,,
7451,7,6,61,11,,,,,,,,,,,,
7456,7,8,61,21,,,,,,,,,,,,
7459,4,3,91,21,,,,,,,,,,,,
7531,7,2,41,1,,,,,,,,,,,,
7541,6,2,61,1,,,,,,,,,,,,
7553,4,6,91,1,,,,,,,,,,,,
7574,7,4,71,51,,,,,,,,,,,,
7596,6,6,61,21,,,,,,,,,,,,
7598,4,3,31,51,,,,,,,,,,,,
7599,6,7,61,41,,,,,,,,,,,,
7602,8,8,81,51,,,,,,,,,,,,
7603,9,5,81,1,,,,,,,,,,,,
7645,3,4,1,21,,,,,,,,,,,,
7653,6,6,31,11,,,,,,,,,,,,
7657,2,2,81,11,,,,,,,,,,,,
7658,6,9,1,1,,,,,,,,,,,,
7669,4,4,81,31,,,,,,,,,,,,
7670,2,3,91,1,,,,,,,,,,,,
7680,4,2,51,11,,,,,,,,,,,,
7680,9,7,41,21,,,,,,,,,,,,
7681,2,2,81,21,,,,,,,,,,,,
7687,6,2,81,41,,,,,,,,,,,,
7687,6,4,41,1,,,,,,,,,,,,
7694,2,6,51,11,,,,,,,,,,,,
7704,2,8,11,21,,,,,,,,,,,,
7721,4,4,71,11,,,,,,,,,,,,
7728,9,9,21,21,,,,,,,,,,,,
7731,7,8,31,41,,,,,,,,,,,,
7733,5,4,31,21,,,,,,,,,,,,
7735,6,3,71,51,,,,,,,,,,,,
7740,2,4,71,31,,,,,,,,,,,,
7746,6,9,61,11,,,,,,,,,,,,
7755,2,7,11,31,,,,,,,,,,,,
