length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,40,49,1,2,9,1,1,91,10,1,51,10
7135,40,6,11,21,,,,,,,,,,,,
7193,40,5,71,31,,,,,,,,,,,,
7279,45,4,1,1,,,,,,,,,,,,
7307,46,8,41,41,,,,,,,,,,,,
7324,43,9,61,51,,,,,,,,,,,,
7329,42,2,61,51,,,,,,,,,,,,
7349,45,5,51,51,,,,,,,,,,,,
7419,40,7,61,1,,,,,,,,,,,,
7447,43,6,41,1,,,,,,,,,,,,
7449,43,4,31,21,,,,,,,,,,,,
7467,41,4,21,1,,,,,,,,,,,,
7468,47,2,21,31,,,,,,,,,,,,
7485,46,7,51,21,,,,,,,,,,,,
7497,45,4,81,41,,,,,,,,,,,,
7510,42,2,21,31,,,,,,,,,,,,
7546,42,9,1,21,,,,,,,,,,,,
7546,43,6,1,41,,,,,,,,,,,,
7564,47,4,1,11,,,,,,,,,,,,
7566,45,2,51,1,,,,,,,,,,,,
7591,48,2,91,31,,,,,,,,,,,,
7592,42,6,71,11,,,,,,,,,,,,
7595,41,3,91,1,,,,,,,,,,,,
7612,40,6,1,11,,,,,,,,,,,,
7617,44,5,71,41,,,,,,,,,,,,
7625,41,2,1,1,,,,,,,,,,,,
7629,43,4,1,51,,,,,,,,,,,,
7630,41,4,51,51,,,,,,,,,,,,
7642,41,4,71,11,,,,,,,,,,,,
7644,46,8,11,31,,,,,,,,,,,,
7648,46,4,31,31,,,,,,,,,,,,
7649,41,6,81,1,,,,,,,,,,,,
7651,44,2,71,1,,,,,,,,,,,,
7652,44,9,11,21,,,,,,,,,,,,
7652,46,6,11,11,,,,,,,,,,,,
7666,43,6,71,1,,,,,,,,,,,,
7671,46,6,11,41,,,,,,,,,,,,
7697,41,5,51,41,,,,,,,,,,,,
7697,46,2,91,31,,,,,,,,,,,,
7721,45,2,11,41,,,,,,,,,,,,
7728,47,6,41,51,,,,,,,,,,,,
7730,46,9,61,1,,,,,,,,,,,,
7731,40,8,41,21,,,,,,,,,,,,
7731,45,4,1,21,,,,,,,,,,,,
7734,45,4,11,41,,,,,,,,,,,,
7735,41,5,41,51,,,,,,,,,,,,
7740,43,7,81,51,,,,,,,,,,,,
7745,46,5,71,1,,,,,,,,,,,,
7746,42,7,71,31,,,,,,,,,,,,
7747,43,2,41,1,,,,,,,,,,,,
7748,40,4,91,31,,,,,,,,,,,,
7760,44,9,91,21,,,,,,,,,,,,
7761,42,4,1,21,,,,,,,,,,,,
7767,43,3,71,41,,,,,,,,,,,,
7772,44,3,31,1,,,,,,,,,,,,
7777,43,8,11,11,,,,,,,,,,,,
7783,45,8,21,31,,,,,,,,,,,,
7785,47,6,31,51,,,,,,,,,,,,
7786,40,5,1,51,,,,,,,,,,,,
7801,45,4,31,41,,,,,,,,,,,,
7808,47,6,51,31,,,,,,,,,,,,
7810,44,6,31,11,,,,,,,,,,,,
7810,44,9,21,11,,,,,,,,,,,,
7813,41,6,11,41,,,,,,,,,,,,
7826,42,4,71,41,,,,,,,,,,,,
7832,44,3,21,21,,,,,,,,,,,,
7837,40,7,71,21,,,,,,,,,,,,
7839,46,7,81,11,,,,,,,,,,,,
7840,44,3,71,11,,,,,,,,,,,,
7841,43,8,41,11,,,,,,,,,,,,
7847,40,7,81,51,,,,,,,,,,,,
7847,41,7,11,1,,,,,,,,,,,,
7850,46,2,41,1,,,,,,,,,,,,
7852,41,6,71,21,,,,,,,,,,,,
7856,46,7,81,41,,,,,,,,,,,,
7859,40,3,11,21,,,,,,,,,,,,
7864,47,8,21,51,,,,,,,,,,,,
7871,43,7,71,51,,,,,,,,,,,,
7872,45,9,51,1,,,,,,,,,,,,
7873,40,5,1,41,,,,,,,,,,,,
7873,47,2,71,41,,,,,,,,,,,,
7874,47,7,1,31,,,,,,,,,,,,
7876,43,9,31,31,,,,,,,,,,,,
7880,42,8,41,21,,,,,,,,,,,,
7881,43,3,61,51,,,,,,,,,,,,
7890,43,2,1,31,,,,,,,,,,,,
7891,42,8,51,31,,,,,,,,,,,,
7891,43,8,21,41,,,,,,,,,,,,
7894,44,7,81,51,,,,,,,,,,,,
7896,44,8,31,31,,,,,,,,,,,,
7899,47,2,91,51,,,,,,,,,,,,
7900,42,4,41,41,,,,,,,,,,,,
7903,43,4,11,31,,,,,,,,,,,,
7903,45,9,41,31,,,,,,,,,,,,
7906,41,7,81,11,,,,,,,,,,,,
7907,45,7,31,1,,,,,,,,,,,,
7919,44,3,91,31,,,,,,,,,,,,
7919,45,8,31,41,,,,,,,,,,,,
7922,45,2,71,31,,,,,,,,,,,,
7933,44,6,21,31,,,,,,,,,,,,
7936,43,5,21,31,,,,,,,,,,,,
7936,46,8,21,51,,,,,,,,,,,,
7939,41,9,41,51,,,,,,,,,,,,
7942,43,6,1,1,,,,,,,,,,,,
7944,42,5,31,31,,,,,,,,,,,,
7946,40,4,51,1,,,,,,,,,,,,
7949,40,3,61,51,,,,,,,,,,,,
7949,41,4,11,11,,,,,,,,,,,,
7950,41,3,51,11,,,,,,,,,,,,
7955,46,2,21,51,,,,,,,,,,,,
7961,42,3,21,51,,,,,,,,,,,,
7962,46,9,71,11,,,,,,,,,,,,
7963,44,6,91,31,,,,,,,,,,,,
7964,42,2,21,1,,,,,,,,,,,,
