length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,20,29,1,2,9,1,1,91,10,1,51,10
7128,20,5,81,41,,,,,,,,,,,,
7205,22,3,21,1,,,,,,,,,,,,
7225,21,8,1,21,,,,,,,,,,,,
7249,22,5,81,11,,,,,,,,,,,,
7260,24,2,51,31,,,,,,,,,,,,
7278,21,6,21,51,,,,,,,,,,,,
7279,25,9,1,31,,,,,,,,,,,,
7313,22,9,11,21,,,,,,,,,,,,
7351,26,4,91,1,,,,,,,,,,,,
7363,23,2,61,11,,,,,,,,,,,,
7370,23,5,41,31,,,,,,,,,,,,
7404,20,8,1,1,,,,,,,,,,,,
7441,22,2,61,1,,,,,,,,,,,,
7441,26,4,31,31,,,,,,,,,,,,
7446,27,2,31,21,,,,,,,,,,,,
7459,25,6,11,41,,,,,,,,,,,,
7468,20,4,11,11,,,,,,,,,,,,
7473,20,5,21,21,,,,,,,,,,,,
7511,23,3,31,1,,,,,,,,,,,,
7545,23,6,41,1,,,,,,,,,,,,
7548,26,9,71,21,,,,,,,,,,,,
7553,27,4,1,51,,,,,,,,,,,,
7571,20,8,51,21,,,,,,,,,,,,
7576,27,8,51,41,,,,,,,,,,,,
7577,28,2,51,11,,,,,,,,,,,,
7578,27,7,51,41,,,,,,,,,,,,
7602,22,5,11,51,,,,,,,,,,,,
7610,24,5,91,41,,,,,,,,,,,,
7624,25,6,71,41,,,,,,,,,,,,
7628,24,5,81,51,,,,,,,,,,,,
7641,24,9,91,41,,,,,,,,,,,,
7648,27,6,21,1,,,,,,,,,,,,
7678,25,4,81,11,,,,,,,,,,,,
7682,26,7,71,41,,,,,,,,,,,,
7693,23,8,41,41,,,,,,,,,,,,
7698,24,5,71,51,,,,,,,,,,,,
7700,23,5,71,31,,,,,,,,,,,,
7714,23,9,31,51,,,,,,,,,,,,
7718,24,7,31,31,,,,,,,,,,,,
7719,24,4,81,21,,,,,,,,,,,,
7723,22,4,1,31,,,,,,,,,,,,
7726,27,5,31,11,,,,,,,,,,,,
7729,25,8,71,21,,,,,,,,,,,,
7730,28,2,11,51,,,,,,,,,,,,
7733,25,7,81,11,,,,,,,,,,,,
7751,20,6,11,21,,,,,,,,,,,,
7769,20,6,21,21,,,,,,,,,,,,
7772,22,9,51,11,,,,,,,,,,,,
7779,20,9,81,1,,,,,,,,,,,,
7783,23,7,61,41,,,,,,,,,,,,
7785,22,8,61,11,,,,,,,,,,,,
7789,24,3,21,31,,,,,,,,,,,,
7791,26,3,91,1,,,,,,,,,,,,
7791,28,3,21,11,,,,,,,,,,,,
7792,21,4,41,1,,,,,,,,,,,,
7793,22,3,51,51,,,,,,,,,,,,
7808,24,2,11,1,,,,,,,,,,,,
7808,27,5,41,1,,,,,,,,,,,,
7811,26,4,31,21,,,,,,,,,,,,
7815,20,4,51,31,,,,,,,,,,,,
7818,27,9,1,31,,,,,,,,,,,,
7822,22,2,31,51,,,,,,,,,,,,
7824,23,6,11,51,,,,,,,,,,,,
7827,26,9,51,11,,,,,,,,,,,,
7827,27,3,61,11,,,,,,,,,,,,
7833,20,6,51,41,,,,,,,,,,,,
7838,25,7,71,11,,,,,,,,,,,,
7843,23,4,11,1,,,,,,,,,,,,
7846,20,9,61,1,,,,,,,,,,,,
7848,21,4,81,1,,,,,,,,,,,,
7849,27,5,21,31,,,,,,,,,,,,
7855,24,7,81,21,,,,,,,,,,,,
7855,26,6,91,11,,,,,,,,,,,,
7858,23,9,81,31,,,,,,,,,,,,
7860,23,4,91,41,,,,,,,,,,,,
7864,24,4,11,11,,,,,,,,,,,,
7867,23,7,91,1,,,,,,,,,,,,
7872,23,3,11,51,,,,,,,,,,,,
7888,20,5,81,11,,,,,,,,,,,,
7896,24,2,21,31,,,,,,,,,,,,
7903,23,2,81,11,,,,,,,,,,,,
7904,21,4,91,11,,,,,,,,,,,,
7905,23,7,41,21,,,,,,,,,,,,
7905,27,4,11,21,,,,,,,,,,,,
7906,22,7,11,21,,,,,,,,,,,,
7910,25,7,41,31,,,,,,,,,,,,
7910,27,8,21,51,,,,,,,,,,,,
7916,25,4,61,31,,,,,,,,,,,,
7918,23,8,21,41,,,,,,,,,,,,
7919,20,3,21,31,,,,,,,,,,,,
7920,26,7,61,41,,,,,,,,,,,,
7926,21,3,11,31,,,,,,,,,,,,
7930,20,9,41,31,,,,,,,,,,,,
7933,23,2,11,51,,,,,,,,,,,,
7933,27,2,71,1,,,,,,,,,,,,
7934,21,9,71,31,,,,,,,,,,,,
7934,24,3,51,31,,,,,,,,,,,,
7937,24,8,1,41,,,,,,,,,,,,
7939,22,8,81,41,,,,,,,,,,,,
7941,23,4,81,31,,,,,,,,,,,,
7943,27,6,1,11,,,,,,,,,,,,
7946,24,3,41,41,,,,,,,,,,,,
7948,22,7,81,11,,,,,,,,,,,,
7954,20,2,11,11,,,,,,,,,,,,
7954,27,5,51,51,,,,,,,,,,,,
7956,20,7,1,51,,,,,,,,,,,,
7958,22,2,41,1,,,,,,,,,,,,
7959,27,3,61,31,,,,,,,,,,,,
7962,20,6,31,11,,,,,,,,,,,,
7968,24,2,31,11,,,,,,,,,,,,
7971,28,2,41,31,,,,,,,,,,,,
7975,25,3,11,41,,,,,,,,,,,,
7982,20,5,51,1,,,,,,,,,,,,
7985,23,6,61,11,,,,,,,,,,,,
7987,21,7,81,41,,,,,,,,,,,,
7994,20,2,51,41,,,,,,,,,,,,
7994,24,6,41,1,,,,,,,,,,,,
7997,25,7,41,11,,,,,,,,,,,,
7998,21,2,11,31,,,,,,,,,,,,
7999,22,3,61,51,,,,,,,,,,,,
8000,28,2,81,31,,,,,,,,,,,,
8001,26,9,1,41,,,,,,,,,,,,
8005,22,5,31,41,,,,,,,,,,,,
8011,26,9,71,1,,,,,,,,,,,,
8016,20,7,61,41,,,,,,,,,,,,
8018,20,8,1,31,,,,,,,,,,,,
8020,24,5,41,31,,,,,,,,,,,,
8022,27,6,81,11,,,,,,,,,,,,
8030,25,9,81,21,,,,,,,,,,,,
8032,25,5,91,11,,,,,,,,,,,,
8032,26,5,11,21,,,,,,,,,,,,
8033,20,8,31,41,,,,,,,,,,,,
8033,26,6,41,1,,,,,,,,,,,,
8037,23,2,1,31,,,,,,,,,,,,
8037,27,6,1,41,,,,,,,,,,,,
8037,27,6,71,11,,,,,,,,,,,,
8038,26,3,41,21,,,,,,,,,,,,
8040,23,3,91,31,,,,,,,,,,,,
8042,26,5,61,51,,,,,,,,,,,,
8044,20,6,61,1,,,,,,,,,,,,
8044,26,7,21,11,,,,,,,,,,,,
8045,23,2,21,21,,,,,,,,,,,,
8045,26,8,21,41,,,,,,,,,,,,
8045,27,9,81,31,,,,,,,,,,,,
8047,24,4,11,41,,,,,,,,,,,,
8050,22,8,1,11,,,,,,,,,,,,
8050,25,7,1,31,,,,,,,,,,,,
8053,20,5,71,31,,,,,,,,,,,,
8053,26,3,91,11,,,,,,,,,,,,
8054,20,4,1,41,,,,,,,,,,,,
8057,21,6,71,21,,,,,,,,,,,,
8059,25,6,91,11,,,,,,,,,,,,
8061,22,9,1,21,,,,,,,,,,,,
8061,25,9,71,31,,,,,,,,,,,,
8061,27,6,31,31,,,,,,,,,,,,
8062,22,5,31,11,,,,,,,,,,,,
8063,20,6,81,51,,,,,,,,,,,,
8064,25,5,11,1,,,,,,,,,,,,
8065,22,4,31,1,,,,,,,,,,,,
8065,24,2,41,1,,,,,,,,,,,,
8068,22,6,51,21,,,,,,,,,,,,
8069,21,4,21,41,,,,,,,,,,,,
8071,20,5,51,31,,,,,,,,,,,,
8071,25,2,41,51,,,,,,,,,,,,
8072,21,6,11,31,,,,,,,,,,,,
8072,22,7,71,41,,,,,,,,,,,,
8076,23,6,31,21,,,,,,,,,,,,
8078,20,2,11,31,,,,,,,,,,,,
8078,22,6,61,31,,,,,,,,,,,,
8079,27,7,51,1,,,,,,,,,,,,
8082,25,5,51,31,,,,,,,,,,,,
8086,21,2,61,31,,,,,,,,,,,,
8090,22,2,91,41,,,,,,,,,,,,
8092,24,2,51,1,,,,,,,,,,,,
8093,24,2,1,1,,,,,,,,,,,,
8094,20,2,41,1,,,,,,,,,,,,
8094,24,6,1,51,,,,,,,,,,,,
8097,23,5,51,21,,,,,,,,,,,,
8101,23,7,51,21,,,,,,,,,,,,
8108,26,5,1,1,,,,,,,,,,,,
8108,26,7,71,1,,,,,,,,,,,,
8109,27,3,21,31,,,,,,,,,,,,
8110,27,7,21,1,,,,,,,,,,,,
8111,27,8,91,51,,,,,,,,,,,,
8114,21,5,91,31,,,,,,,,,,,,
8114,24,7,41,11,,,,,,,,,,,,
8115,22,9,51,31,,,,,,,,,,,,
8116,20,6,61,31,,,,,,,,,,,,
8116,22,7,41,41,,,,,,,,,,,,
8116,26,2,61,21,,,,,,,,,,,,
8121,21,7,61,1,,,,,,,,,,,,
8123,24,4,11,51,,,,,,,,,,,,
8123,25,4,11,51,,,,,,,,,,,,
8124,25,9,81,51,,,,,,,,,,,,
8125,26,2,31,11,,,,,,,,,,,,
8126,22,5,91,41,,,,,,,,,,,,
8128,23,6,21,51,,,,,,,,,,,,
8129,20,6,71,11,,,,,,,,,,,,
8136,23,7,11,21,,,,,,,,,,,,
8137,24,5,71,21,,,,,,,,,,,,
8137,25,5,1,31,,,,,,,,,,,,
8138,24,6,1,1,,,,,,,,,,,,
8139,23,2,61,41,,,,,,,,,,,,
8139,24,3,11,31,,,,,,,,,,,,
8142,20,8,61,31,,,,,,,,,,,,
8142,27,2,1,11,,,,,,,,,,,,
8143,26,8,61,11,,,,,,,,,,,,
8144,24,3,41,21,,,,,,,,,,,,
8146,21,5,11,31,,,,,,,,,,,,
8146,26,8,11,41,,,,,,,,,,,,
8147,21,2,41,31,,,,,,,,,,,,
8148,20,2,51,31,,,,,,,,,,,,
8148,21,6,51,21,,,,,,,,,,,,
8148,27,9,71,1,,,,,,,,,,,,
8150,27,7,41,21,,,,,,,,,,,,
8151,24,8,11,51,,,,,,,,,,,,
8153,27,6,51,1,,,,,,,,,,,,
8154,27,8,11,1,,,,,,,,,,,,
8156,22,2,81,1,,,,,,,,,,,,
8157,21,6,41,11,,,,,,,,,,,,
8159,26,3,61,1,,,,,,,,,,,,
8160,26,3,31,11,,,,,,,,,,,,
8161,20,4,41,11,,,,,,,,,,,,
8163,22,5,51,1,,,,,,,,,,,,
8164,21,6,51,51,,,,,,,,,,,,
8165,27,5,91,21,,,,,,,,,,,,
8167,26,7,71,11,,,,,,,,,,,,
8169,22,3,81,51,,,,,,,,,,,,
8173,25,3,91,31,,,,,,,,,,,,
8175,24,3,1,31,,,,,,,,,,,,
8175,26,3,11,51,,,,,,,,,,,,
8175,27,8,31,21,,,,,,,,,,,,
8177,20,9,41,1,,,,,,,,,,,,
8177,21,5,41,31,,,,,,,,,,,,
8177,27,7,1,51,,,,,,,,,,,,
8178,20,6,1,51,,,,,,,,,,,,
8179,23,7,81,1,,,,,,,,,,,,
8180,21,6,21,41,,,,,,,,,,,,
8180,22,8,51,11,,,,,,,,,,,,
8180,26,4,71,21,,,,,,,,,,,,
8182,27,5,71,1,,,,,,,,,,,,
8182,27,9,31,51,,,,,,,,,,,,
8183,22,3,11,51,,,,,,,,,,,,
8184,24,8,81,41,,,,,,,,,,,,
8186,24,8,1,31,,,,,,,,,,,,
8186,26,4,81,31,,,,,,,,,,,,
8186,26,6,51,31,,,,,,,,,,,,
8190,22,6,11,41,,,,,,,,,,,,
8190,27,6,51,21,,,,,,,,,,,,
8192,27,6,11,21,,,,,,,,,,,,
8194,25,8,31,31,,,,,,,,,,,,
8197,22,8,51,41,,,,,,,,,,,,
8197,23,3,61,41,,,,,,,,,,,,
8198,27,2,81,51,,,,,,,,,,,,
8202,21,8,1,51,,,,,,,,,,,,
8202,23,2,51,41,,,,,,,,,,,,
8202,24,4,91,1,,,,,,,,,,,,
8202,27,3,41,11,,,,,,,,,,,,
8205,20,5,91,11,,,,,,,,,,,,
8205,26,9,21,21,,,,,,,,,,,,
8207,25,5,21,21,,,,,,,,,,,,
8207,26,9,71,11,,,,,,,,,,,,
8209,26,9,1,51,,,,,,,,,,,,
8210,24,4,11,31,,,,,,,,,,,,
8210,25,5,71,21,,,,,,,,,,,,
8211,23,6,1,31,,,,,,,,,,,,
8213,23,4,11,41,,,,,,,,,,,,
8213,25,2,81,51,,,,,,,,,,,,
